seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12586,2024,FRA.SUPER_CUP,179,213535,1,0,2,1,0,0,0,0,0,0,0,0,0,1,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,216288,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,218857,1,0,3,0,0,0,0,0,1,0,1,0,0,0,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,222037,1,0,2,1,1,0,0,0,0,0,1,0,0,2,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,238213,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,240957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,252740,1,0,4,0,0,0,0,0,0,1,2,0,0,0,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,265991,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,266280,1,0,1,0,0,0,0,0,0,1,5,0,0,1,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,267515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,271244,1,0,1,1,0,0,0,0,0,2,3,0,0,0,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,272488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,275574,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,297340,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,304889,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,313891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,324289,1,0,0,0,0,0,0,0,0,0,0,0,11,3,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,332959,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,350525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 03:15:25
12586,2024,FRA.SUPER_CUP,179,355975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:25
